GivenName;Surename;Domain;Description;Company;Department;Office;AccountPassword
Karl;Mayer;spielwiese.intern;Karl kuemmert sich um den Drucker;ACME;IT;Koblenz;InitPWD123
Pater;Svenson;spielwiese.intern;Uebernimmt Hausmeistertätigkeiten;ACME;HM;Koblenz;InitPWD123
Manuela;Karlson;spielwiese.intern;Leiter der IT;ACME;IT;Koblenz;InitPWD123
Josef;Simpson;spielwiese.intern;Übernimmt Hausmeitertaetigkeiten;ACME;HM;Koblenz;InitPWD123
Paul;Kraft;spielwiese.intern;-;ACME;-;Koblenz;InitPWD123
Anna;Peterson;spielwiese.intern;Macht nie Ueberstunden;ACME;IT;Koblenz;InitPWD123
Berta;Ludwig;spielwiese.intern;Macht ständig Ueberstunden;ACME;Produktion;Koblenz;InitPWD123
Johana;Kraft;spielwiese.intern;Kraftvoll;ACME;Produktion;Koblenz;InitPWD123
Tom;Bayer;spielwiese.intern;Neuling;ACME;Vertrieb;Koblenz;InitPWD123
Markus;Fischer;spielwiese.intern;Verkäufer;ACME;Vertrieb;Koblenz;InitPWD123
Marie;Miesen;spielwiese.intern;Chefin;ACME;Geschaeftsleitung;Koblenz;InitPWD123
Noah;Becker;spielwiese.intern;Urgestein;ACME;Lager;Koblenz;InitPWD123
Charliy;Becker;spielwiese.intern;Sohn vom Urgestein;ACME;Lager;Koblenz;InitPWD123
